order_item_id,type,order_id,item_id,requested_quantity,processed_quantity,start_location_id,goal_location_id,start_y,start_x,goal_y,goal_x,rack_id,status,priority,assigned_agent
1067,OUTBOUND,6001,HK005,13,0,120,301,4,2,5,13,M002,WAIT,1,1
1068,MOVE,5001,KH005,17,0,200,201,7,2,4,10,D010,WAIT,1,3
1069,MOVE,7001,NX004,2,0,100,400,8,3,10,3,A006,WAIT,3,1
1070,INBOUND,7001,HK005,21,0,0,600,8,1,3,4,M002,WAIT,3,1
1071,INBOUND,8001,NX002,17,0,400,301,10,14,8,10,M007,WAIT,2,3
1072,OUTBOUND,8001,HK003,12,0,0,101,2,9,1,13,F010,WAIT,2,3
1073,OUTBOUND,8001,KH002,13,0,200,201,6,13,4,5,U005,WAIT,3,3
1074,MOVE,5001,HK003,4,0,400,301,10,2,7,12,D009,WAIT,3,3
1075,OUTBOUND,5001,HK004,1,0,120,201,8,9,4,2,D003,WAIT,1,2
1076,OUTBOUND,5001,KH002,12,0,201,600,10,5,9,3,L011,WAIT,1,4
1077,MOVE,,KH001,23,0,400,400,8,5,4,7,H010,WAIT,2,5
1078,MOVE,7001,HK002,1,0,100,400,3,3,9,5,H001,WAIT,2,5
1079,MOVE,8001,NX004,13,0,120,600,2,4,8,2,B011,WAIT,2,5
1080,OUTBOUND,6001,HK005,13,0,400,600,7,12,1,4,D010,WAIT,3,3
1081,PICK,6001,HK005,6,0,0,600,5,10,7,5,Q002,WAIT,1,6
1082,OUTBOUND,8001,KH003,11,0,120,301,4,7,2,11,R003,WAIT,1,7
1083,PICK,7001,KH004,9,0,120,201,4,3,3,5,P003,WAIT,2,7
1084,PICK,7001,KH002,11,0,400,400,2,5,5,7,U011,WAIT,1,1
1085,PICK,6001,HK005,13,0,500,600,4,1,10,7,P001,WAIT,2,3
1086,INBOUND,5001,HK005,20,0,120,600,1,7,6,13,N010,WAIT,3,2
1087,OUTBOUND,6001,HK003,10,0,201,301,3,3,10,1,O010,WAIT,2,5
1088,OUTBOUND,8001,HK004,17,0,200,600,6,4,4,8,M010,WAIT,1,6
1089,OUTBOUND,7001,HK001,14,0,400,600,10,7,2,12,N005,WAIT,3,7
1090,PICK,8001,HK001,5,0,200,400,4,8,3,2,L006,WAIT,1,3
1091,OUTBOUND,6001,NX001,19,0,0,301,4,8,6,5,A012,WAIT,3,6
1092,OUTBOUND,6001,NX004,5,0,200,301,4,13,3,10,I004,WAIT,1,2
1093,OUTBOUND,5001,KH001,10,0,200,600,7,14,4,12,B012,WAIT,2,7
1094,PICK,8001,HK004,17,0,120,201,5,5,9,13,E009,WAIT,3,8
1095,OUTBOUND,7001,NX005,22,0,200,130,1,4,5,10,M007,WAIT,1,2
1096,MOVE,,KH004,11,0,0,301,9,4,10,1,E011,WAIT,2,2
1097,OUTBOUND,6001,NX003,19,0,400,600,4,8,5,3,S008,WAIT,1,2
1098,INBOUND,7001,KH005,1,0,100,600,8,3,10,1,N004,WAIT,1,4
1099,MOVE,6001,NX003,8,0,100,101,9,13,3,9,A006,WAIT,1,4
1100,INBOUND,8001,HK005,12,0,200,301,4,10,8,3,L005,WAIT,3,6
1101,PICK,6001,NX003,11,0,200,201,2,2,6,1,U003,WAIT,3,1
1102,OUTBOUND,6001,KH004,12,0,100,101,8,14,1,1,M002,WAIT,2,2
1103,PICK,,KH002,23,0,201,130,9,11,5,7,L004,WAIT,3,3
1104,OUTBOUND,,NX003,21,0,200,400,8,11,9,6,F001,WAIT,1,3
1105,MOVE,5001,NX004,1,0,500,400,3,5,7,2,I002,WAIT,3,5
1106,PICK,,KH002,23,0,201,101,5,14,5,13,N001,WAIT,2,5
1107,PICK,5001,KH002,5,0,120,600,10,5,3,7,A006,WAIT,2,6
1108,OUTBOUND,5001,HK004,23,0,100,201,7,9,9,8,O004,WAIT,2,2
1109,OUTBOUND,5001,NX004,13,0,200,130,6,7,10,4,A010,WAIT,1,3
1110,INBOUND,6001,NX004,3,0,100,130,8,3,4,3,R007,WAIT,3,8
1111,MOVE,5001,HK005,20,0,100,301,7,12,8,1,D002,WAIT,1,2
1112,OUTBOUND,,KH002,7,0,100,400,10,4,8,12,O004,WAIT,3,2
1113,OUTBOUND,6001,NX005,5,0,400,301,3,5,1,7,C012,WAIT,3,8
1114,MOVE,5001,KH004,5,0,100,201,6,1,6,3,I012,WAIT,3,3
1115,MOVE,7001,KH004,7,0,400,130,7,13,6,6,E004,WAIT,1,4
1116,OUTBOUND,6001,KH005,2,0,100,101,3,13,2,8,U010,WAIT,1,4
1117,MOVE,5001,KH001,11,0,200,600,10,12,10,8,S011,WAIT,3,2
1118,INBOUND,,KH002,16,0,120,201,6,10,8,9,O010,WAIT,3,3
1119,MOVE,8001,NX001,7,0,0,400,2,14,3,10,M010,WAIT,3,5
1120,INBOUND,5001,KH005,6,0,500,101,1,8,7,6,N003,WAIT,3,4
1121,MOVE,5001,HK001,24,0,201,101,2,8,6,14,L002,WAIT,1,2
1122,INBOUND,5001,KH005,16,0,100,400,2,10,7,4,R007,WAIT,1,7
1123,MOVE,7001,HK003,1,0,200,600,6,10,5,7,L012,WAIT,2,1
1124,INBOUND,8001,NX003,5,0,100,201,10,10,4,7,T004,WAIT,1,1
1125,OUTBOUND,,KH005,3,0,0,301,7,13,7,8,B005,WAIT,1,2
1126,INBOUND,,KH003,5,0,400,101,1,12,4,10,H011,WAIT,1,8
1127,OUTBOUND,6001,KH004,11,0,500,201,9,8,3,3,L002,WAIT,3,3
1128,OUTBOUND,7001,NX002,4,0,201,130,7,3,9,8,E003,WAIT,1,6
1129,MOVE,,HK002,23,0,0,101,3,3,7,12,M009,WAIT,3,1
1130,MOVE,8001,NX001,16,0,120,201,6,1,4,1,R009,WAIT,1,1
1131,MOVE,5001,KH002,2,0,120,201,10,4,10,12,M001,WAIT,1,1
1132,INBOUND,8001,KH005,10,0,200,400,1,14,10,1,T006,WAIT,2,1
1133,PICK,7001,NX004,6,0,400,301,1,14,4,8,E008,WAIT,3,1
1134,PICK,,KH005,18,0,0,130,10,9,4,1,U008,WAIT,3,4
1135,MOVE,8001,NX001,5,0,200,101,4,12,9,3,C003,WAIT,2,7
1136,OUTBOUND,7001,KH003,22,0,100,130,2,4,8,9,R001,WAIT,2,2
1137,PICK,5001,HK001,10,0,400,201,3,3,2,12,P005,WAIT,1,8
1138,OUTBOUND,8001,NX003,8,0,400,201,1,6,2,8,S002,WAIT,3,7
1139,OUTBOUND,7001,NX004,2,0,400,130,5,8,7,6,Q003,WAIT,2,8
1140,MOVE,7001,HK005,1,0,400,301,9,1,1,14,C007,WAIT,3,5
1141,MOVE,8001,NX004,18,0,400,101,2,4,1,5,S008,WAIT,1,1
1142,INBOUND,7001,KH001,17,0,400,101,6,10,8,5,N005,WAIT,1,3
1143,INBOUND,6001,NX001,23,0,0,201,4,3,5,10,K006,WAIT,2,5
1144,PICK,7001,HK001,10,0,500,400,1,3,7,8,Q002,WAIT,3,5
1145,OUTBOUND,,HK002,23,0,100,130,2,1,6,7,I003,WAIT,2,6
1146,MOVE,,HK002,15,0,500,130,1,11,10,2,A007,WAIT,3,2
1147,PICK,5001,NX002,8,0,120,130,10,11,4,9,I002,WAIT,3,4
1148,MOVE,8001,HK005,22,0,120,301,1,5,5,3,K009,WAIT,1,8
1149,PICK,6001,NX005,8,0,120,600,1,14,1,9,F010,WAIT,2,5
1150,PICK,6001,NX005,5,0,201,301,3,6,7,2,L008,WAIT,1,4
1151,INBOUND,6001,HK002,24,0,400,400,5,9,10,14,L010,WAIT,3,5
1152,INBOUND,6001,NX004,8,0,0,600,7,12,3,4,T002,WAIT,2,4
1153,MOVE,8001,NX004,20,0,120,130,10,13,6,13,B011,WAIT,3,8
1154,MOVE,5001,NX003,3,0,200,301,6,10,4,14,K008,WAIT,2,2
1155,PICK,,KH001,3,0,200,301,9,4,9,2,H001,WAIT,3,6
1156,MOVE,8001,KH003,1,0,500,130,4,7,9,6,T008,WAIT,2,5
1157,OUTBOUND,5001,NX001,4,0,500,201,6,6,3,7,G002,WAIT,1,3
1158,INBOUND,,HK002,13,0,500,600,6,5,3,1,B004,WAIT,3,7
1159,PICK,8001,KH005,11,0,400,400,7,14,4,3,J008,WAIT,1,6
1160,OUTBOUND,7001,KH003,15,0,400,201,6,10,3,13,L010,WAIT,1,7
1161,MOVE,5001,KH001,5,0,201,101,2,10,5,3,F001,WAIT,2,4
1162,PICK,6001,HK004,17,0,500,301,9,7,7,11,F012,WAIT,2,6
1163,PICK,7001,NX004,9,0,500,130,8,9,4,3,O002,WAIT,2,7
1164,MOVE,5001,NX005,20,0,200,400,9,9,1,7,E012,WAIT,1,3
1165,INBOUND,8001,NX001,3,0,100,301,6,2,1,9,A004,WAIT,1,3
1166,MOVE,8001,NX005,19,0,120,600,2,1,5,12,L006,WAIT,2,8
1167,INBOUND,5001,NX005,14,0,201,400,4,7,4,13,K003,WAIT,1,5
1168,PICK,8001,NX001,14,0,100,201,10,1,5,8,J006,WAIT,3,8
1169,PICK,6001,NX003,15,0,500,301,8,8,2,2,H009,WAIT,1,6
1170,INBOUND,8001,HK001,12,0,100,400,10,5,2,14,N008,WAIT,2,5
1171,MOVE,8001,NX001,12,0,0,301,9,14,10,5,F010,WAIT,2,7
1172,MOVE,,NX001,17,0,100,201,9,3,9,4,O005,WAIT,1,4
1173,MOVE,6001,NX003,20,0,400,301,1,3,8,11,D005,WAIT,2,6
1174,MOVE,7001,NX004,17,0,200,600,9,6,5,14,E001,WAIT,2,7
1175,PICK,7001,NX001,17,0,500,600,8,9,5,13,S006,WAIT,1,4
1176,INBOUND,7001,HK003,2,0,100,101,4,1,1,5,B004,WAIT,1,3
1177,PICK,5001,HK004,18,0,201,101,2,13,8,2,D004,WAIT,3,5
1178,PICK,5001,NX001,18,0,200,301,1,13,5,9,G010,WAIT,3,2
1179,PICK,6001,KH005,16,0,0,600,1,11,1,7,P008,WAIT,1,3
1180,OUTBOUND,5001,HK004,17,0,200,301,1,10,5,2,O004,WAIT,3,3
1181,PICK,,KH001,13,0,500,400,1,14,2,4,E002,WAIT,2,3
1182,PICK,8001,KH005,23,0,120,201,7,9,3,12,S010,WAIT,3,5
1183,MOVE,5001,KH004,15,0,0,201,8,2,10,6,D001,WAIT,2,1
1184,PICK,5001,HK005,12,0,0,201,2,3,8,5,Q007,WAIT,2,8
1185,INBOUND,7001,KH002,18,0,200,201,2,2,7,1,L012,WAIT,3,8
1186,PICK,5001,HK001,18,0,500,201,4,4,9,2,I004,WAIT,1,7
1187,OUTBOUND,6001,HK001,4,0,400,101,5,12,8,11,T008,WAIT,3,7
1188,MOVE,,NX002,3,0,400,101,4,2,1,5,S003,WAIT,1,7
1189,PICK,8001,NX005,4,0,201,130,2,11,5,10,P012,WAIT,2,3
1190,PICK,7001,KH003,21,0,500,301,6,12,9,11,C011,WAIT,3,7
1191,OUTBOUND,,HK004,24,0,120,101,3,12,9,5,P004,WAIT,2,6
1192,OUTBOUND,5001,NX002,20,0,400,400,9,6,5,14,N001,WAIT,3,1
1193,INBOUND,7001,NX005,22,0,0,101,9,2,3,1,E007,WAIT,1,4
1194,MOVE,8001,NX005,19,0,100,201,3,2,7,14,D006,WAIT,2,2
1195,MOVE,,KH003,22,0,0,201,10,6,6,5,O010,WAIT,3,6
1196,INBOUND,6001,HK005,11,0,200,130,4,1,6,6,L002,WAIT,1,4
1197,MOVE,,HK005,5,0,100,600,9,8,3,2,J005,WAIT,2,1
1198,MOVE,8001,KH005,18,0,200,201,7,14,9,8,U006,WAIT,3,8
1199,OUTBOUND,6001,KH005,6,0,120,130,8,3,3,6,Q007,WAIT,1,3
1200,MOVE,,NX001,9,0,400,301,10,5,1,12,L009,WAIT,3,2
1201,PICK,6001,KH002,15,0,400,130,10,8,3,6,R006,WAIT,1,8
1202,OUTBOUND,6001,KH001,7,0,100,301,7,14,4,7,H007,WAIT,2,5
1203,INBOUND,7001,NX002,21,0,201,301,6,10,6,13,U011,WAIT,3,6
1204,PICK,5001,NX005,20,0,0,400,4,9,10,6,O010,WAIT,2,7
1205,MOVE,,KH003,18,0,100,301,5,7,5,6,L004,WAIT,3,5
1206,MOVE,,KH005,7,0,0,130,4,9,1,1,I001,WAIT,1,8
1207,OUTBOUND,,HK003,4,0,120,600,9,5,7,6,B001,WAIT,1,2
1208,MOVE,6001,HK001,13,0,500,130,6,5,6,14,S012,WAIT,3,7
1209,PICK,7001,HK004,8,0,200,101,1,13,9,3,A001,WAIT,2,7
1210,MOVE,7001,KH004,19,0,200,301,5,1,1,13,I006,WAIT,2,6
1211,MOVE,7001,KH005,4,0,201,201,3,5,1,4,S001,WAIT,2,2
1212,OUTBOUND,8001,KH002,2,0,201,201,5,9,1,1,D005,WAIT,2,2
1213,PICK,7001,KH005,19,0,120,301,4,6,5,13,D007,WAIT,2,6
1214,OUTBOUND,6001,NX004,8,0,201,301,3,8,4,4,C006,WAIT,3,2
1215,INBOUND,5001,NX003,3,0,120,130,2,7,6,6,M010,WAIT,3,5
1216,MOVE,5001,NX004,15,0,200,400,10,10,10,5,O004,WAIT,1,5
1217,PICK,7001,HK003,8,0,400,600,3,8,9,5,D009,WAIT,1,4
1218,OUTBOUND,7001,NX001,4,0,500,301,1,5,10,6,N004,WAIT,2,1
1219,MOVE,7001,KH002,15,0,200,400,9,5,4,11,U004,WAIT,3,6
1220,MOVE,8001,KH005,4,0,120,101,6,8,10,4,B005,WAIT,1,2
1221,PICK,,KH002,7,0,0,201,4,10,5,3,S002,WAIT,3,5
1222,PICK,5001,NX005,12,0,400,600,1,7,5,8,A002,WAIT,3,8
1223,OUTBOUND,6001,NX005,7,0,100,400,5,4,9,9,K006,WAIT,2,8
1224,PICK,5001,KH002,3,0,201,201,5,9,8,12,F011,WAIT,2,7
1225,MOVE,8001,KH002,1,0,201,600,3,1,1,11,A004,WAIT,3,5
1226,OUTBOUND,6001,KH004,15,0,120,600,7,2,7,10,A008,WAIT,1,2
1227,PICK,6001,NX005,23,0,201,130,9,5,3,10,T004,WAIT,2,4
1228,INBOUND,6001,NX001,11,0,500,101,8,7,9,4,S008,WAIT,1,8
1229,OUTBOUND,8001,HK002,13,0,400,101,6,1,8,12,S003,WAIT,1,4
1230,INBOUND,7001,NX002,1,0,200,201,6,6,7,7,D012,WAIT,1,5
1231,MOVE,7001,NX004,23,0,120,101,2,8,1,13,H002,WAIT,1,4
1232,MOVE,8001,NX001,2,0,200,130,8,11,8,3,T005,WAIT,1,2
1233,INBOUND,5001,HK003,9,0,400,130,8,5,2,6,C005,WAIT,2,7
1234,MOVE,8001,KH001,19,0,500,130,4,11,8,3,U006,WAIT,2,8
1235,INBOUND,6001,HK002,11,0,100,600,4,1,7,12,H003,WAIT,3,2
1236,INBOUND,,NX005,24,0,400,600,2,10,9,7,P003,WAIT,2,3
1237,MOVE,6001,NX001,13,0,0,600,2,2,7,13,L006,WAIT,2,6
1238,MOVE,5001,HK005,19,0,201,101,10,9,7,8,T008,WAIT,3,1
1239,OUTBOUND,8001,HK004,3,0,400,201,8,9,9,9,R005,WAIT,1,5
1240,MOVE,,KH001,17,0,100,130,3,3,9,8,I010,WAIT,3,8
